@relation inflection_verbs
@attribute ending {ar,er,ir}
@attribute endingstem string
@attribute penSyl string
@attribute person {0, 1, 2, 3}
@attribute number {0, 1}
@attribute tense {0, 1, 2, 3, 4}
@attribute mood {0, 1, 2, 3}
@attribute suff1 string
@attribute suff2 string
@data
er,ANY,ANY,1,0,2,1,iere,ANY
er,ANY,ANY,2,0,2,1,ieres,ANY
er,ANY,ANY,3,0,2,1,iere,ANY
er,ANY,ANY,1,1,2,1,iéremos,ANY
er,ANY,ANY,2,1,2,1,iereis,ANY
er,ANY,ANY,3,1,2,1,ieren,ANY
ir,ANY,ANY,1,0,0,0,o,ANY
ir,ANY,ANY,2,0,0,0,es,ANY
ir,ANY,ANY,3,0,0,0,e,ANY
ir,ANY,ANY,1,1,0,0,imos,ANY
ir,ANY,ANY,2,1,0,0,ís,ANY
ir,ANY,ANY,3,1,0,0,en,ANY
ir,ANY,ANY,1,0,1,0,ía,ANY
ir,ANY,ANY,2,0,1,0,ías,ANY
ir,ANY,ANY,3,0,1,0,ía,ANY
ir,ANY,ANY,1,1,1,0,íamos,ANY
ir,ANY,ANY,2,1,1,0,íais,ANY
ir,ANY,ANY,3,1,1,0,ían,ANY
ir,ANY,ANY,1,0,3,0,í,ANY
ir,ANY,ANY,2,0,3,0,iste,ANY
ir,ANY,ANY,3,0,3,0,ió,ANY
ir,ANY,ANY,1,1,3,0,imos,ANY
ir,ANY,ANY,2,1,3,0,isteis,ANY
ir,ANY,ANY,3,1,3,0,ieron,ANY
ir,ANY,ANY,1,0,2,0,iré,ANY
ir,ANY,ANY,2,0,2,0,irás,ANY
ir,ANY,ANY,3,0,2,0,irá,ANY
ir,ANY,ANY,1,1,2,0,iremos,ANY
ir,ANY,ANY,2,1,2,0,iréis,ANY
ir,ANY,ANY,3,1,2,0,irán,ANY
ir,ANY,ANY,1,0,4,0,iría,ANY
ir,ANY,ANY,2,0,4,0,irías,ANY
ir,ANY,ANY,3,0,4,0,iría,ANY
ir,ANY,ANY,1,1,4,0,iríamos,ANY
ir,ANY,ANY,2,1,4,0,iríais,ANY
ir,ANY,ANY,3,1,4,0,irían,ANY
ir,ANY,ANY,2,0,0,2,e,ANY
ir,ANY,ANY,2,1,0,2,id,ANY
ir,ANY,ANY,0,0,0,3,ir,ANY
ir,ANY,ANY,0,0,1,3,ido,ANY
ir,ANY,ANY,0,0,2,3,iendo,ANY
ir,ANY,ANY,1,0,0,1,a,ANY
ir,ANY,ANY,2,0,0,1,as,ANY
ir,ANY,ANY,3,0,0,1,a,ANY
ir,ANY,ANY,1,1,0,1,amos,ANY
ir,ANY,ANY,2,1,0,1,áis,ANY
ir,ANY,ANY,3,1,0,1,an,ANY
ir,ANY,ANY,1,0,1,1,iera,iese
ir,ANY,ANY,2,0,1,1,ieras,ieses
ir,ANY,ANY,3,0,1,1,iera,iese
ir,ANY,ANY,1,1,1,1,iéramos,iésemos
ir,ANY,ANY,2,1,1,1,ierais,ieseis
ir,ANY,ANY,3,1,1,1,ieran,iesen
ir,ANY,ANY,1,0,2,1,iere,ANY
ir,ANY,ANY,2,0,2,1,ieres,ANY
ir,ANY,ANY,3,0,2,1,iere,ANY
ir,ANY,ANY,1,1,2,1,iéremos,ANY
ir,ANY,ANY,2,1,2,1,iereis,ANY
ir,ANY,ANY,3,1,2,1,ieren,ANY
ar,and,NULL,1,0,0,0,ando,ANY
ar,and,NULL,2,0,0,0,andas,ANY
ar,and,NULL,3,0,0,0,anda,ANY
ar,and,NULL,1,1,0,0,andamos,ANY
ar,and,NULL,2,1,0,0,andáis,ANY
ar,and,NULL,3,1,0,0,andan,ANY
ar,desand,NULL,1,0,0,0,desando,ANY
ar,desand,NULL,2,0,0,0,desandas,ANY
ar,desand,NULL,3,0,0,0,desanda,ANY
ar,desand,NULL,1,1,0,0,desandamos,ANY
ar,desand,NULL,2,1,0,0,desandáis,ANY
ar,desand,NULL,3,1,0,0,desandan,ANY
ar,d,NULL,1,0,0,0,doy,ANY
ar,d,NULL,2,0,0,0,das,ANY
ar,d,NULL,3,0,0,0,da,ANY
ar,d,NULL,1,1,0,0,damos,ANY
ar,d,NULL,2,1,0,0,dáis,ANY
ar,d,NULL,3,1,0,0,dan,ANY
ar,and,NULL,1,0,1,0,andaba,ANY
ar,and,NULL,2,0,1,0,andabas,ANY
ar,and,NULL,3,0,1,0,andaba,ANY
ar,and,NULL,1,1,1,0,andábamos,ANY
ar,and,NULL,2,1,1,0,andabais,ANY
ar,and,NULL,3,1,1,0,andaban,ANY
ar,desand,NULL,1,0,1,0,desandaba,ANY
ar,desand,NULL,2,0,1,0,desandabas,ANY
ar,desand,NULL,3,0,1,0,desandaba,ANY
ar,desand,NULL,1,1,1,0,desandábamos,ANY
ar,desand,NULL,2,1,1,0,desandabais,ANY
ar,desand,NULL,3,1,1,0,desandaban,ANY
ar,d,NULL,1,0,1,0,daba,ANY
ar,d,NULL,2,0,1,0,dabas,ANY
ar,d,NULL,3,0,1,0,daba,ANY
ar,d,NULL,1,1,1,0,dábamos,ANY
ar,d,NULL,2,1,1,0,dabais,ANY
ar,d,NULL,3,1,1,0,daban,ANY
ar,and,ANY,1,0,3,0,anduve,ANY
ar,and,ANY,2,0,3,0,anduviste,ANY
ar,and,ANY,3,0,3,0,anduvo,ANY
ar,and,ANY,1,1,3,0,anduvimos,ANY
ar,and,ANY,2,1,3,0,anduvisteis,ANY
ar,and,ANY,3,1,3,0,anduvieron,ANY
ar,d,NULL,1,0,3,0,di,ANY
ar,d,NULL,2,0,3,0,diste,ANY
ar,d,NULL,3,0,3,0,dio,ANY
ar,d,NULL,1,1,3,0,dimos,ANY
ar,d,NULL,2,1,3,0,disteis,ANY
ar,d,NULL,3,1,3,0,dieron,ANY
ar,and,NULL,1,0,2,0,andaré,ANY
ar,and,NULL,2,0,2,0,andarás,ANY
ar,and,NULL,3,0,2,0,andará,ANY
ar,and,NULL,1,1,2,0,andaremos,ANY
ar,and,NULL,2,1,2,0,andaréis,ANY
ar,and,NULL,3,1,2,0,andarán,ANY
ar,desand,NULL,1,0,2,0,desandaré,ANY
ar,desand,NULL,2,0,2,0,desandarás,ANY
ar,desand,NULL,3,0,2,0,desandará,ANY
ar,desand,NULL,1,1,2,0,desandaremos,ANY
ar,desand,NULL,2,1,2,0,desandaréis,ANY
ar,desand,NULL,3,1,2,0,desandarán,ANY
ar,d,NULL,1,0,2,0,daré,ANY
ar,d,NULL,2,0,2,0,darás,ANY
ar,d,NULL,3,0,2,0,dará,ANY
ar,d,NULL,1,1,2,0,daremos,ANY
ar,d,NULL,2,1,2,0,daréis,ANY
ar,d,NULL,3,1,2,0,darán,ANY
ar,and,NULL,1,0,4,0,andaría,ANY
ar,and,NULL,2,0,4,0,andarías,ANY
ar,and,NULL,3,0,4,0,andaría,ANY
ar,and,NULL,1,1,4,0,andaríamos,ANY
ar,and,NULL,2,1,4,0,andaríais,ANY
ar,and,NULL,3,1,4,0,andarían,ANY
ar,desand,NULL,1,0,4,0,desandaría,ANY
ar,desand,NULL,2,0,4,0,desandarías,ANY
ar,desand,NULL,3,0,4,0,desandaría,ANY
ar,desand,NULL,1,1,4,0,desandaríamos,ANY
ar,desand,NULL,2,1,4,0,desandaríais,ANY
ar,desand,NULL,3,1,4,0,desandarían,ANY
ar,d,NULL,1,0,4,0,daría,ANY
ar,d,NULL,2,0,4,0,darías,ANY
ar,d,NULL,3,0,4,0,daría,ANY
